Department,Date,Active Cases
HUANUCO,2020-05-03,4
ICA,2020-05-03,31
JUNIN,2020-05-03,48
LA LIBERTAD,2020-05-03,52
LAMBAYEQUE,2020-05-03,132
LIMA,2020-05-03,1222
LORETO,2020-05-03,25
PASCO,2020-05-03,5
PIURA,2020-05-03,86
PUNO,2020-05-03,11
SAN MARTIN,2020-05-03,20
TACNA,2020-05-03,7
TUMBES,2020-05-03,11
UCAYALI,2020-05-03,94
AMAZONAS,2020-05-04,26
ANCASH,2020-05-04,108
APURIMAC,2020-05-04,6
AREQUIPA,2020-05-04,60
AYACUCHO,2020-05-04,27
CAJAMARCA,2020-05-04,15
CALLAO,2020-05-04,200
CUSCO,2020-05-04,8
HUANCAVELICA,2020-05-04,12
HUANUCO,2020-05-04,16
ICA,2020-05-04,70
JUNIN,2020-05-04,49
LA LIBERTAD,2020-05-04,126
LAMBAYEQUE,2020-05-04,332
LIMA,2020-05-04,2381
